0x94b918de swap(uint256)
0x8119c065 swap()
0xd3986f08 swap(uint256,address)
0x95c160d8 swap(int256)
0x6b76484e swap(address,address)
0xa278d036 swap(address,bool)
0x03438dd0 swap(address)
0x76467cbd swap(bytes32)
0x627dd56a swap(bytes)
0xd004f0f7 swap(address,uint256)
0xfc342279 swap(bool)
0xdf791e50 swap(address,address,uint256)
0xd96073cf swap(uint256,uint256)
0x9f1d0f59 swap(address,uint256,uint256)
0x1ff0c325 swap(address,address,int256)
0x0c85295b swap(address[],bytes[])
0xfe029156 swap(address,address,uint256,uint256)
0x84f0053a swap(bytes32,address)
0xc1ebb818 swap(address,bytes32)
0x43dbf2a9 swap(uint256,bytes32)
0xb18834aa swap(address[],uint256)
0xa82d3448 swap(address,uint96)
0xd6b0bdd5 swap(address,address,int256,address)
0xf6f32ca5 swap(address,address,uint64)
0xca346549 swap(int256,int256)
0xde060743 swap(bytes32,uint256)
0xe3547335 swap(address,bytes)
0xced6dc24 swap(address,int256)
0x48bf630b swap(uint256[])
0x3f48eede swap(uint32)
0x999b93af quote()
0x9d9892cd swap(uint256,uint256,uint256)
0xcc784b52 quote(int256)
0xc1813380 swap(address,address,bool)
0x0b39ed47 quote(address)
0xa964d446 quote(bool)
0x9d456b62 swap(string,uint256)
0x13b0be33 quote(uint256,address)
0x4a5aa711 quote(address,address)
0x93316212 swap(address,address,address)
0xab600b7e swap(address,string)
0x802d4d59 quote(address,bytes)
0x15f05b05 quote(bytes32)
0xed1bd76c quote(uint256)
0x621f7309 swap(uint8,uint8)
0x8f79306e quote(address,uint256)
0x3e4aacf3 quote(address[],bytes[])
0xdab35203 quote(address,bool)
0xb6466384 quote(address,address,uint256)
0xedfa3568 quote(bytes)
0xe04f2de5 quote(address,address,int256)
0x75c854c3 quote(address,bytes32)
0x2112b0a1 quote(bytes32,address)
0xc9e270d0 quote(address,address,int256,address)
0x315f1a41 quote(uint256,uint256)
0x82c25d4c quote(address[],uint256)
0x520b9355 quote(address,address,uint256,uint256)
0x46b01f69 quote(uint256,bytes32)
0x7b998555 quote(bytes32,uint256)
0x9e8cc04b quote(address,uint256,uint256)
0x6f8b0eac quote(uint32)
0x252ab0ae quote(address,string)
0x6fa5c50d quote(uint256[])
0xe85bb395 quote(address,address,uint64)
0x7ddf7ab9 quote(address,uint96)
0xf9b41e32 quote(address,address,address)
0x63b7717f quote(string,uint256)
0x1629d87f quote(int256,int256)
0x3b324790 setPrice(address)
0xc7e328d4 quote(uint8,uint8)
0x131239c9 quote(address,address,bool)
0xad615dec quote(uint256,uint256,uint256)
0x99748893 setPrice(address,address)
0x0e2a705c quote(address,int256)
0xd4b2b4c6 setPrice(bytes)
0xf7d97577 setPrice(uint256,uint256)
0x00e4768b setPrice(address,uint256)
0x285da53b setPrice(bytes32)
0xf7a30806 setPrice(int256)
0x792eb791 setPrice(address,address,uint256)
0x741a8dff setPrice(address[],bytes[])
0xb897cc9d setPrice(address,bytes)
0x91b7f5ed setPrice(uint256)
0x485f4767 setPrice(uint256,address)
0xe39dd79c setPrice(uint256[])
0xc222d072 setPrice(address,bool)
0x10d8d74d setPrice(bytes32,uint256)
0x7e09ae1e setPrice(address,address,int256,address)
0x2a50ae6e setPrice(bool)
0x268a5fcd setPrice(address,uint96)
0xda93d0d1 setPrice()
0x00cbcbdf setPrice(address,address,uint64)
0x3011e16a setPrice(address,uint256,uint256)
0x89466c4e setPrice(bytes32,address)
0xd14eca02 setPrice(int256,int256)
0xdaafe0a5 setPrice(uint32)
0x9053dc93 setPrice(address,bytes32)
0xed222b36 setPrice(address,address,int256)
0x2506a51b setPrice(address[],uint256)
0x9082f9ab setPrice(uint256,bytes32)
0xa405d312 setPrice(address,address,uint256,uint256)
0x95c96d39 setPrice(address,address,bool)
0x034dd29b setPrice(address,int256)
0xe19e42ef setPrice(address,string)
0x5d3dee0d setPrice(uint8,uint8)
0x27e50822 setPrice(address,address,address)
0x673a7e28 updatePrice()
0xaa585d56 setPrice(uint256,uint256,uint256)
0x96e85ced updatePrice(address)
0x22e01192 setPrice(string,uint256)
0xce912508 updatePrice(bytes32)
0x6fae9824 updatePrice(address,address)
0x457972de updatePrice(address,uint256)
0x4401c183 updatePrice(address,bool)
0xebacde3a updatePrice(address[],bytes[])
0x8d6cc56d updatePrice(uint256)
0x42503a61 updatePrice(bool)
0x8736ec47 updatePrice(bytes)
0xd6c6b09f updatePrice(address,bytes)
0xd4c19bda updatePrice(int256)
0x8fbb2a90 updatePrice(address,address,uint256)
0xe9ffaadb updatePrice(uint256,address)
0xff022179 updatePrice(address,address,uint256,uint256)
0x82367b2d updatePrice(uint256,uint256)
0xa2a32e1d updatePrice(address,address,int256,address)
0xe57d6fb7 updatePrice(address,uint256,uint256)
0x5f704f3e updatePrice(bytes32,uint256)
0xbe8b04a1 updatePrice(uint256,bytes32)
0x7d022c50 updatePrice(bytes32,address)
0x55e2c99d updatePrice(address,address,int256)
0x1ed79dfd updatePrice(int256,int256)
0x600ff0eb updatePrice(address,bytes32)
0x72f6590d updatePrice(address,address,uint64)
0xeb5b607e updatePrice(address,string)
0x372fc6f5 updatePrice(address,address,bool)
0x8fa9d54a updatePrice(address,int256)
0xec2233e5 updatePrice(address,uint96)
0x98b0fbba setParameter()
0x283de2d0 updatePrice(address[],uint256)
0xd28fdde8 updatePrice(uint256[])
0xce9159af updatePrice(uint32)
0x44d32a11 updatePrice(uint8,uint8)
0x0f436129 updatePrice(uint256,uint256,uint256)
0x4a432a46 updatePrice(string,uint256)
0x4d899f79 updatePrice(address,address,address)
0xd18121a6 setParameter(uint256)
0x3093ba19 setParameter(bytes32)
0xe559ceee setParameter(bool)
0xf11421aa setParameter(uint256,address)
0x4cdca648 setParameter(address,bool)
0x27e73301 setParameter(address)
0xcab44790 setParameter(address,address)
0x8aed90e0 setParameter(int256)
0xc63c0f54 setParameter(bytes)
0xd1d0fb25 setParameter(address,uint256)
0x12ee63f3 setParameter(uint256,uint256)
0x200d1990 setParameter(address,uint256,uint256)
0xaf8f52d8 setParameter(address,address,int256)
0x5f9bbdb7 setParameter(address[],bytes[])
0xc11e4734 setParameter(bytes32,address)
0x4ab2ea3b setParameter(address,address,uint256)
0xc66f7c41 setParameter(address,bytes)
0xbc04a468 setParameter(address,bytes32)
0x9f6ac475 setParameter(address[],uint256)
0xd20010ce setParameter(address,address,int256,address)
0x881a3221 setParameter(address,address,uint256,uint256)
0xe5c3ddb4 setParameter(uint256[])
0x6ca94cb8 setParameter(address,address,address)
0x723507be setParameter(bytes32,uint256)
0x67dadc07 setParameter(uint256,bytes32)
0xb76d5153 setParameter(address,int256)
0x787a9173 setParameter(uint32)
0x3387791b setParameter(address,uint96)
0x02a3a527 setParameter(address,address,uint64)
0x540e58aa setParameter(address,address,bool)
0xe90085ec setParameter(uint256,uint256,uint256)
0xc8f9d43f setParameter(int256,int256)
0x4f7e6b13 setParameter(address,string)
0x9dff2c44 setParameter(uint8,uint8)
0x5dc50cf6 updateParameters(bool)
0x1b68f02a updateParameters()
0x2ac2af53 updateParameters(bytes32)
0x621824aa updateParameters(address,uint256)
0x55c1285b updateParameters(uint256,address)
0xc1e77864 updateParameters(address,address)
0x53195202 updateParameters(int256)
0x87d858da updateParameters(address)
0xb98267d4 updateParameters(address,bytes)
0x298c72f7 updateParameters(bytes)
0x1c124e51 setParameter(string,uint256)
0xda36c8d6 updateParameters(address,address,uint256)
0x239759a6 updateParameters(address,bool)
0xe1b41f0f updateParameters(address,address,int256,address)
0xdd26c108 updateParameters(address,address,uint256,uint256)
0x3ec66202 updateParameters(uint256)
0xdafe02f0 updateParameters(address,address,int256)
0x723153a0 updateParameters(address[],bytes[])
0x3f8d454f updateParameters(address,uint256,uint256)
0x7039de35 updateParameters(uint256,bytes32)
0xed5ea136 updateParameters(bytes32,uint256)
0x692a4170 updateParameters(address,uint96)
0x86241328 updateParameters(address,bytes32)
0x16128211 updateParameters(uint256,uint256)
0xe76604a1 updateParameters(bytes32,address)
0x0a6bc04b updateParameters(address[],uint256)
0x2c3b9b4b updateParameters(uint32)
0xd750ad08 updateParameters(address,int256)
0xc7609109 updateParameters(address,string)
0xfd8d9519 updateParameters(uint256[])
0x4c063cfa updateParameters(string,uint256)
0xf76d50ad updateParameters(uint256,uint256,uint256)
0x7a3a7a3d updateParameters(address,address,uint64)
0x54f7e1b6 updateParameters(address,address,bool)
0x1f9a4921 updateParameters(uint8,uint8)
0x20afca48 updateParameters(int256,int256)
0x4874d1d3 registerPair()
0xdc314b44 registerPair(address)
0xe04e130e updateParameters(address,address,address)
0xeef03834 registerPair(uint256,address)
0x29b85bdc registerPair(uint256)
0x8d4c4dae registerPair(uint256,uint256)
0x2a064fd6 registerPair(bool)
0x8da10656 registerPair(address,bool)
0x81f581d0 registerPair(address,bytes)
0x0da5cdda registerPair(bytes)
0x6a0e364b registerPair(int256)
0x1d9599d3 registerPair(address,uint256)
0xf51219ea registerPair(address[],bytes[])
0x7a7db656 registerPair(address,uint256,uint256)
0x3c918341 registerPair(address,address,uint256)
0x02cf9d51 registerPair(address,address,int256)
0x3e615911 registerPair(bytes32)
0x16aea3f2 registerPair(bytes32,uint256)
0x78048890 registerPair(address,address,int256,address)
0x81ba7d5f registerPair(address,address,uint256,uint256)
0x64b7e622 registerPair(bytes32,address)
0xe9c9f90e registerPair(uint256,bytes32)
0x6610f79f registerPair(address,bytes32)
0xe846668b registerPair(address,uint96)
0x36234138 registerPair(address,address)
0xebaa7ac3 registerPair(address,address,uint64)
0x3c8c9eed registerPair(uint256[])
0x08bb44c1 registerPair(address,int256)
0xbfbd0297 registerPair(address,address,address)
0x09dfa26b registerPair(address[],uint256)
0x9390faab registerPair(uint32)
0xaf046ed8 registerPair(address,string)
0xe079489e registerPair(int256,int256)
0x99a6a310 registerPair(string,uint256)
0x8f08638a addPair()
0x5fedf3cc registerPair(uint8,uint8)
0x4f72e885 addPair(uint256)
0x7fa56dd0 registerPair(uint256,uint256,uint256)
0x0c69d319 addPair(bool)
0xfaa64a5e registerPair(address,address,bool)
0x4fc12343 addPair(int256)
0x7e26cafa addPair(address,bool)
0xd370d46a addPair(bytes)
0xb6f3e087 addPair(address,address)
0xc2b7bbb6 addPair(address)
0xa6367d43 addPair(uint256,uint256)
0x0000b5ed addPair(bytes32)
0x0ecddf65 addPair(address,address,int256)
0xc708ba0c addPair(uint256,address)
0xe3dd1331 addPair(address[],bytes[])
0xd1b6d27e addPair(address,address,int256,address)
0xb5acfa62 addPair(address,address,uint256)
0xa4b2c95e addPair(address,uint256,uint256)
0xf8757fdc addPair(address,bytes)
0xd9da630c addPair(address[],uint256)
0x49e1993b addPair(address,address,uint256,uint256)
0x2a9fc698 addPair(address,uint256)
0x64a0df4a addPair(address,string)
0xa8473d1e addPair(address,bytes32)
0x9207f4cb addPair(address,int256)
0x7a04ef05 addPair(bytes32,uint256)
0x7fca66ac addPair(string,uint256)
0x167c02bf addPair(uint256[])
0x0e3dd72c addPair(uint256,bytes32)
0x56ad3126 addPair(bytes32,address)
0x266cc51f addPair(int256,int256)
0xf1ec23cf addPair(address,address,address)
0x19ef091b addPair(address,address,bool)
0x3c502500 addPair(address,address,uint64)
0xa029ebcf addPair(address,uint96)
0xe1e712c9 removePair(int256)
0x1c536e31 addPair(uint32)
0x2d06759c addPair(uint256,uint256,uint256)
0xaf6c9c1d removePair(address)
0xf2bcfd1b removePair()
0x1a81f305 removePair(address,address,int256,address)
0x5861b227 removePair(address,address)
0x3c3d5599 addPair(uint8,uint8)
0x8e982c5f removePair(address,address,int256)
0x642c971d removePair(address[],bytes[])
0xaf9136d5 removePair(address,address,uint256)
0x5f3b66c4 removePair(address,bool)
0xc6d11e1c removePair(uint256,uint256)
0x2599c037 removePair(address,uint256)
0xfc5d0c10 removePair(bytes)
0x73952d61 removePair(address,address,uint256,uint256)
0x945c09e3 removePair(uint256,address)
0xb4e0289c removePair(address,bytes32)
0x68a64d90 removePair(bool)
0x2b42dc62 removePair(uint256)
0x41fbbb4b removePair(bytes32)
0x18421229 removePair(bytes32,address)
0x47e3c89c removePair(address,uint96)
0x4e726b13 removePair(uint256,uint256,uint256)
0x7d6cf27f removePair(address,uint256,uint256)
0x336f10b6 removePair(bytes32,uint256)
0x289b4ae9 removePair(address,bytes)
0x7fe6bdcc removePair(uint256,bytes32)
0xdca39585 removePair(address[],uint256)
0xb5168d91 removePair(address,string)
0xb65bd182 removePair(uint256[])
0x123bba66 removePair(address,address,uint64)
0xa9801117 unregisterPair()
0xd5d42795 removePair(int256,int256)
0xdead4bce removePair(address,int256)
0xfd1b4c03 removePair(address,address,address)
0x962aea50 removePair(string,uint256)
0x193c29f3 removePair(address,address,bool)
0xa7168604 removePair(uint32)
0x0f464dd7 unregisterPair(bytes32)
0xd30c40b5 unregisterPair(address,uint256)
0x95793c65 unregisterPair(int256)
0x20f6aa23 unregisterPair(uint256,address)
0x74ea76ef unregisterPair(bool)
0x02405a87 unregisterPair(address)
0xa240972b unregisterPair(address,bytes)
0x5ec1f1ac removePair(uint8,uint8)
0xb2603266 unregisterPair(bytes)
0xcd3525dc unregisterPair(uint256)
0xf9594a01 unregisterPair(address,bool)
