Aster Spot	binance	56	0x000ae314e2a2172a039b26378814c252734f556a
Buzz Farming	binance	56	0x783c3f003f172c6ac5ac700218a357d2d66ee2a2
Hemi Staking	ethereum	1	0xeb964a1a6fab73b8c72a0d15c7337fa4804f484d
Altura	hyperevm	999	0xd0ee0cf300dfb598270cd7f4d0c6e0d8f6e13f29
T RIZE	base	8453	0x9818b6c09f5ecc843060927e8587c427c7c93583
Gravity by Galxe	ethereum	1	0x9c7beba8f6ef6643abd725e45a4e8387ef260649
GLIF	filecoin	314	0x2a0aaf86b2fa64e88d3739091e7773106f3ebcf5
Moonlander	cronos-zkevm	388	0xe8E4A973Bb36E1714c805F88e2eb3A89f195D04f
GETH	ethereum	1	0x3802c218221390025bceabbad5d8c59f40eb74b8
Stobox	ethereum	1	0xa6422e3e219ee6d4c1b18895275fe43556fd50ed
Fulcrom AMM	cronos	25	0x83afb1c32e5637acd0a452d87c3249f4a9f0013a
PinkSale	bsc	binance	0x602ba546a7b06e0fc7f58fd27eb6996ecc824689
