Tether Gold	ethereum	1	0x68749665ff8d2d112fa859aa293f07a622782f38
Arbitrum Nitro	arbitrum	42161	0x912ce59144191c1204e64559fe8253a0e49e6548
Paxos Gold	ethereum	1	0x45804880de22913dafe09f4980848ece6ecbaf78
Obol	ethereum	1	0x0b010000b7624eb9b3dfbc279673c76e9d29d5f7
mETH Protocol	ethereum	1	0x9f0c013016e8656bc256f948cd4b79ab25c7b94d
Aster Spot	binance	56	0x000ae314e2a2172a039b26378814c252734f556a
Cooler Loans	ethereum	1	0x64aa3364F17a4D01c6f1751Fd97C2BD3D7e7f1D5
Buzz Farming	binance	56	0x783c3f003f172c6ac5ac700218a357d2d66ee2a2
Starknet Bridge	ethereum	1	0xCa14007Eff0dB1f8135f4C25B34De49AB0d42766
Yield Basis	ethereum	1	0x01791f726b4103694969820be083196cc7c045ff
Nexus Mutual	ethereum	1	0xd7c49cee7e9188cca6ad8ff264c1da2e69d4cf3b
Hyperlane	arbitrum	42161	0xc9d23ed2adb0f551369946bd377f8644ce1ca5c4
Blast Bridge	blast	81457	0xb1a5700fa2358173fe465e6ea4ff52e36e88e2ad
Hemi Staking	ethereum	1	0xeb964a1a6fab73b8c72a0d15c7337fa4804f484d
Altura	hyperevm	999	0xd0ee0cf300dfb598270cd7f4d0c6e0d8f6e13f29
GoPlus Locker V2	base	8453	0x0c1dc73159e30c4b06170f2593d3118968a0dca5
Pharaoh V3	avalanche	43114	0x13A466998Ce03Db73aBc2d4DF3bBD845Ed1f28E7
Lisk Bridge	ethereum	1	0x6033f7f88332b8db6ad452b7c6d5bb643990ae3f
T RIZE	base	8453	0x9818b6c09f5ecc843060927e8587c427c7c93583
Gravity by Galxe	ethereum	1	0x9c7beba8f6ef6643abd725e45a4e8387ef260649
GLIF	filecoin	314	0x2a0aaf86b2fa64e88d3739091e7773106f3ebcf5
Moonlander	cronos-zkevm	388	0xe8E4A973Bb36E1714c805F88e2eb3A89f195D04f
Cronos zkEVM Bridge	ethereum	1	0x28ff2e4dd1b58efeb0fc138602a28d5ae81e44e2
GETH	ethereum	1	0x3802c218221390025bceabbad5d8c59f40eb74b8
Stobox	ethereum	1	0xa6422e3e219ee6d4c1b18895275fe43556fd50ed
Fulcrom AMM	cronos	25	0x83afb1c32e5637acd0a452d87c3249f4a9f0013a
PinkSale	bsc	binance	0x602ba546a7b06e0fc7f58fd27eb6996ecc824689
